ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2010/052009,Nandi East,"(0.13300000000, 35.26100000000)",,CHEPKUNYUK,NANDI HILLS,NANDI,12219362,24438722,06/12/2007 12:00:00 AM,07/19/2007 12:00:00 AM,,12/31/2015 12:00:00 AM,,101 months 12 days,101 months,Shomap-Smallholder Horticulture Marketing Programme,"The project will carry out market system analysis, district-wide mapping of stockists, institutional strengthening throught group registration, support services strengthening and market information development. Further the project will invest in  domesti","Increease the output of and net margins per unit of land earned by smallholders from horticultural production for domestic market.
Reduce the cost to consumers and increase the quality of horticultural products consumed domestically
Increase eployment op",010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2010/052061,Nandi East,"(0.13300000000, 35.26100000000)",,CHEPKUNYUK,NANDI HILLS,NANDI,923964217,1055959105,05/08/2009 12:00:00 AM,07/01/2009 12:00:00 AM,,12/31/2013 12:00:00 AM,,95 months 8 days,95 months,Cash Trasfer For Orphans & Vulnerable Children (CT-OVC),Transfering regular and predictable cash to identified poor households living with orphans and vulnerable children to reduce the level of poverty and vulnerability and promote social inclusion and participation of the vulnerable groups.,To reduce vulnerability and subsequent suffering among the porest kenyan households taking care of the OVC by  providing regular and preditable cash transfer to poor households taking care of the orphans  and vulnerable children in order to strengthen th,090800 - Social Development and Children Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1141 - Ministry of Labour Social Security and Services,Ongoing,"Social Protection, Culture and Recreation",3.71
2010/052333,Nandi Hills,"(0.10700000000, 35.18400000000)",,NANDI HILLS,NANDI HILLS,NANDI,,73529412,10/09/2006 12:00:00 AM,05/07/2007 12:00:00 AM,,12/31/2013 12:00:00 AM,,79 months 24 days,79 months,Natural Resources Management Project (NRM),"water resource management and irrigation
management of forest resources
livelihood investiments","the objective of the project is to enhance the recipient institutional capacity to manage water and forestresources, reduce the incidence and severity of water shocks  such as drought, flood and water shortage in river catchments and improve the  livelih",100400 - Water Resources Management; 100300 - Natural Resources Conservation and Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/051966,Narok,"(-1.07800000000, 35.86000000000)",,NAROK TOWN,NAROK NORTH,NAROK,,441106935,10/27/2009 12:00:00 AM,12/01/2009 12:00:00 AM,04/03/2010 12:00:00 AM,12/31/2015 12:00:00 AM,01/12/2015 12:00:00 AM,68 months 27 days,68 months,Africa Adaptation Programme (AAP),National Integrated and comprehensive approach to Climate Change adaptation,To strengthen Kenya's institutional and systemic capacityand leadership to address Climate Change risks and opportunities through a national approach to adaptation,100200 - Environment Management and Protection,Unspecified,Unspecified,103 - Ministry of Devolution and Planning,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/052265,Narok,"(-1.07800000000, 35.86000000000)",,NAROK TOWN,NAROK NORTH,NAROK,1606500000,2142000000,06/02/2008 12:00:00 AM,01/08/2008 12:00:00 AM,08/01/2008 12:00:00 AM,06/29/2018 12:00:00 AM,,125 months 21 days,125 months,Small Holder Horticulture Development Project - Shdp,"The SHDP has the following components;

- Irrigation and Infrastructure Development component which entails rehabilitation of 9 existing smallholder irrigation schemes covering an area of 2,886 Ha and benefitting approximately 5,812 households.
- Farm su","The overall goal of the project is to contribute to poverty reduction and enhance food security.

Specifically the project will increase household incomes of small-holder horticultural producers through increased production of horticultural products and",010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/053346,Narok,"(-1.07800000000, 35.86000000000)",,NAROK TOWN,NAROK NORTH,NAROK,157000000,157000000,03/31/2011 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2014 12:00:00 AM,,23 months 28 days,23 months,Road Rehabilitation Maai Mahiu- Narok Road (199 66 458),The project consists of the rehabilitation and upgrading of the B3 national trunk road between Maai Mahiu trading centre and the town of Narok. Due to increased traffic volumes in connection with the completion of the road section between Amala River and,The overall objective of the project is to contribute to improving the socio-economic living conditions of the population in the project region through rehabilitation of the Maai Mahiu- Narok Highway.,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2012/053362,Narok,"(-1.07800000000, 35.86000000000)",,NAROK TOWN,NAROK NORTH,NAROK,18699186991710,37398373983740,06/25/2004 12:00:00 AM,09/25/2004 12:00:00 AM,,06/30/2015 12:00:00 AM,09/04/2019 12:00:00 AM,129 months 5 days,129 months,Northern Corridor Transport Improvement Project (NCTIP),Rehabilitation of Northern Corridor and Emergency Restoration of damaged public assets.,To enhance efficiency and effectiveness of Kenya's transport sector.,020200 - Road Transport,Ministry of Transport and Infrastructure,Lamu Corridor Development.,109 - Ministry of Transport and Infrastructure; 153 - MOT - Kenya Airports Authority; 154 - MOT - Kenya Civil Aviation Authority; 1091 - State Department of Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2012/054024,Nyandarua North District,"(-1.03800000000, 35.97600000000)",,ILDAMAT,NAROK SOUTH,NAROK,,1318981,10/27/2006 12:00:00 AM,07/20/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 10 days,59 months,Revitalization Of Kinangop Youth Polytechnic,REVITILIZING YOUTH POLYTECHNIC,BUILD CAPACITY OF THE YOUTH,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2012/054024,Nyandarua South District,"(-1.59000000000, 35.81100000000)",,MAJIMOTO/NAROOSURA,NAROK SOUTH,NAROK,,1318981,10/27/2006 12:00:00 AM,07/20/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 10 days,59 months,Revitalization Of Kinangop Youth Polytechnic,REVITILIZING YOUTH POLYTECHNIC,BUILD CAPACITY OF THE YOUTH,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2010/051624,Narok,"(-1.24700000000, 35.57900000000)",,SIANA,NAROK WEST,NAROK,20090000000,20090000000,07/01/2012 12:00:00 AM,07/29/2013 12:00:00 AM,01/01/2013 12:00:00 AM,06/30/2018 12:00:00 AM,,59 months 1 day,59 months,Loyangalani-Suswa Transmission Line,The project entails the construction of power transmission line to evacuate power from the Lake Turkana Wind Power Plant to the National grid to supplement the hydropower energy the country is currently relying on.,Improve reliability of power in the country by diversifying generation; meet increasing demand in the country.,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",10.4
2010/052126,Narok South District,"(-1.24700000000, 35.57900000000)",,SIANA,NAROK WEST,NAROK,68548500,188541830,12/01/2005 12:00:00 AM,12/01/2005 12:00:00 AM,01/12/2005 12:00:00 AM,12/31/2013 12:00:00 AM,,96 months 30 days,96 months,Project For Sustainable Smallholder Irrigation Development And Management In Central And Southern Kenya (Sideman),"The project is to develop irrigation infrastructure in the selected project sites, ensure that Irrigation Water Users Associations of the pilot sites are resposible for O&M of their irrigation systems, and build capacity of staff in the Irrigation and Dr",Methodology for development of sustainable smallholder irrigation system is verified in the selected schemes.,011000 - Irrigation and Drainage Infrastructure,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/052761,Narok,"(-1.24700000000, 35.57900000000)",,SIANA,NAROK WEST,NAROK,,10000000,09/30/2009 12:00:00 AM,09/01/2009 12:00:00 AM,,08/31/2015 12:00:00 AM,,71 months 16 days,71 months,Kimulot Tree Seedling Production Center,"Kimulot farm, an area found within Sondu Miriu Region and in close proximity to the South West Mau forest","1.To restore the Sondu Miriu river catchment to their original form prior to deforestation and/or human intervation.
2. To promote environmental conservation awareness within the catchment.
3.To maintain optimal river channels and riparian habitat divers",100200 - Environment Management and Protection,Unspecified,Unspecified,131 - MRDA - Lake Basin Dev. Authority,Ongoing,"Environmental Protection, Water and Natural Resources",0
2012/053346,Narok,"(-1.24700000000, 35.57900000000)",,SIANA,NAROK WEST,NAROK,157000000,157000000,03/31/2011 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2014 12:00:00 AM,,23 months 28 days,23 months,Road Rehabilitation Maai Mahiu- Narok Road (199 66 458),The project consists of the rehabilitation and upgrading of the B3 national trunk road between Maai Mahiu trading centre and the town of Narok. Due to increased traffic volumes in connection with the completion of the road section between Amala River and,The overall objective of the project is to contribute to improving the socio-economic living conditions of the population in the project region through rehabilitation of the Maai Mahiu- Narok Highway.,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2012/053390,Narok County,"(-1.24700000000, 35.57900000000)",,SIANA,NAROK WEST,NAROK,11115200000,13894000000,12/10/2010 12:00:00 AM,03/05/2013 12:00:00 AM,,06/30/2018 12:00:00 AM,,63 months 25 days,63 months,Olkaria Lessos Kisumu Power Lines Construction Project,"the project entails construction works for transmission lines, expansion of substations and consulting services.","To enhance efficiency, reliability and security of electric power supply in Kenya by constructing a higher voltage transmission line systems, by improving the efficiency of the transmission and transmitting the renewable energy, contribute to mitigating",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",8.75
2013/054088,Narok County,"(-1.24700000000, 35.57900000000)",,SIANA,NAROK WEST,NAROK,1000000000,1000000000,10/10/2012 12:00:00 AM,03/21/2013 12:00:00 AM,,06/30/2016 12:00:00 AM,,39 months 9 days,39 months,Narok Water Project (Contruction)),Development of detailed design for Narok County water supply,Development of detailed design for Narok County water supply,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.,Ongoing,"Environmental Protection, Water and Natural Resources",0
2011/053185,Navakholo,"(0.41500000000, 34.68200000000)",,BUNYALA CENTRAL,NAVAKHOLO,KAKAMEGA,5883116884,9805194804,06/04/2008 12:00:00 AM,09/04/2008 12:00:00 AM,04/09/2008 12:00:00 AM,12/31/2012 12:00:00 AM,,111 months 27 days,111 months,Water And Sanitation Services Improvement Project (WASSIP),"Rehabilitating and extending existing water supply facilities in Athi Water Service Boards, Coast Water Service Board and Lake Victoria North Service Board.
Rehabilitation and Expansion of Lumakanda Kipkaren Water Supply; New Intake Works, 300mm RWGM New","Increase access to reliable, affordable and sustainable water supply and sanitation services; and improve the water and waste-water services in the three water service boards areas.

To develop a New Water Supply in Lumakanda and Kipkaren Markets and its",100400 - Water Resources Management,Ministry of Environment Water and Natural Resources,Water Resource Development for the Attainment of Adequacy in Quality and Quantity.,110 - Ministry of Environment Water and Natural Resources; 159 - MOWI - Athi Water Service Board; 161 - MOWI - Coast Water Services Board; 163 - MOWI - Lake Victoria North Water Services; 1102 - State Department for Water and Regional Authorities.,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/051524,Kakmega Central,"(0.35100000000, 34.68500000000)",,SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA,5733333336,5733333333,02/16/2007 12:00:00 AM,08/06/2007 12:00:00 AM,06/08/2007 12:00:00 AM,08/06/2015 12:00:00 AM,,132 months 25 days,132 months,Western Kenya Community Driven Development & Flood Mitigation (WKCDD&FM) Project,"the project comprises of three components, these are:
(a) Community Driven Development (CDD).  This component will support community-prioritized investment projects to improve livelihoods and build demand and capacity for local level development at commu",To empower local communities of men and women to engage in sustainable and wealth creating livelihood activities and reduce their vulnerability to flooding.,071300 - Special Initiatives,Unspecified,Unspecified,102 - Ministry of Interior and Coordination of National Government; 103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution,Suspended,Public Administration and International Relations (PAIR),0
2010/052061,Kakamega Central,"(0.35100000000, 34.68500000000)",,SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA,923964217,1055959105,05/08/2009 12:00:00 AM,07/01/2009 12:00:00 AM,,12/31/2013 12:00:00 AM,,95 months 8 days,95 months,Cash Trasfer For Orphans & Vulnerable Children (CT-OVC),Transfering regular and predictable cash to identified poor households living with orphans and vulnerable children to reduce the level of poverty and vulnerability and promote social inclusion and participation of the vulnerable groups.,To reduce vulnerability and subsequent suffering among the porest kenyan households taking care of the OVC by  providing regular and preditable cash transfer to poor households taking care of the orphans  and vulnerable children in order to strengthen th,090800 - Social Development and Children Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1141 - Ministry of Labour Social Security and Services,Ongoing,"Social Protection, Culture and Recreation",3.71
2010/052178,Kakamega Central,"(0.35100000000, 34.68500000000)",,SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA,43500000,52200000,05/20/2010 12:00:00 AM,08/02/2010 12:00:00 AM,02/08/2010 12:00:00 AM,08/01/2018 12:00:00 AM,,96 months 29 days,96 months,Kenya Youth Empowerment Project (KYEP),"This project complements other governmental programmes that aim to help offset the risks and shocks faced by vulnerable groups in the population, and support the build-up of a comprehensive social proctection strategy.","Decreasing the vulnerability of young people by providing some of the most disadvanteged of the unemployed youth with income opportunities inthe short-term, as well as market-oriented skills and work experience that increase employability in the medium a",071100 - Gender & Youth Empowerment,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1131 - Ministry of Sports Culture and Arts; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2011/053187,Kakmega Central,"(0.35100000000, 34.68500000000)",,SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA,2985074702,5970149254,09/06/2009 12:00:00 AM,12/06/2009 12:00:00 AM,06/12/2009 12:00:00 AM,02/12/2016 12:00:00 AM,02/04/2017 12:00:00 AM,87 months 27 days,87 months,Kenya Agricutural Productivity & Agribusiness Project (KAPAP),"To support the agricultural research systems and agricultural extension, farmer and other Stakeholder empowerment.",To increase the agricultural productivity and incomes of participating small-holder farmers in 20 districs in Kenya,010900 - Agribusiness and Information Management,"Ministry of Agriculture, Livestock and Fisheries",Enactment of Consolidated Agricultural Policy Reform Legislation ; Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/053361,Kakamega Central,"(0.35100000000, 34.68500000000)",,SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA,211038961040,211038961039,12/14/2009 12:00:00 AM,01/01/2013 12:00:00 AM,,06/30/2019 12:00:00 AM,,77 months 29 days,77 months,Marketing Infrastructure Kenya Phase 1 (2007 65 123),"This project entails improvement of market infrastures in the following Districts in Western Kenya; Mt Elgon, Bungoma, Teso, Lugari, Vihiga, Kakamega, Butere and Busia. The project will be implemented by the Ministry of Agriculture.",The objective of this project is to sustainably increase agriculture production through improvement of markets infrasture and contribute greatly to the commercialization of subsistence farmers in the target areas.,010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/053968,Kakamega Central,"(0.35100000000, 34.68500000000)",,SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA,825000000,825000000,12/14/2009 12:00:00 AM,01/01/2013 12:00:00 AM,,06/30/2018 12:00:00 AM,,65 months 29 days,65 months,Marketing Infrastructure Kenya Phase 1 (2007 65 123) Roads,"This project entails the rehabilitation and improvement of rural roads that lead to produce markets in the Districts of Mt. Elgon, Bungoma, Teso, Lugari, Vihiga, Kakamega, Butere and Busia.","The objectives of this project are to:

-Improve the unpaved rural road network in Mt. Elgon, Bungoma, Teso, Lugari, Vihiga, Kakamega, Butere and Busia Districts
-Strengthen the system for management and maintenance of roads, using labour-based methods,",020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2010/052218,Homa Bay District,"(-0.66600000000, 34.48100000000)",,KABUOCH NORTH,NDHIWA,HOMA BAY,803289315,1767236641,07/01/2004 12:00:00 AM,07/01/2005 12:00:00 AM,,12/31/2015 12:00:00 AM,,125 months 30 days,125 months,Southern Nyanza Community Development Project (Rpd),"To be implemented in six of the poorest districts in the relatively high potential agriculture areas in southern Nyanza. Has five components; community empowerement; Primary health care, agricuture, livestock and rural finance; domestic water suppl; and","To enhance gendered empowerement of the rural communities through improved health and more rational use and managment of natural resources for sustainable livelihood activities
To improve local level governance capacity and community driven processes for",070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2011/053187,Ndhiwa,"(-0.67100000000, 34.37700000000)",,KANYAMWA KOSEWE,NDHIWA,HOMA BAY,2985074702,5970149254,09/06/2009 12:00:00 AM,12/06/2009 12:00:00 AM,06/12/2009 12:00:00 AM,02/12/2016 12:00:00 AM,02/04/2017 12:00:00 AM,87 months 27 days,87 months,Kenya Agricutural Productivity & Agribusiness Project (KAPAP),"To support the agricultural research systems and agricultural extension, farmer and other Stakeholder empowerment.",To increase the agricultural productivity and incomes of participating small-holder farmers in 20 districs in Kenya,010900 - Agribusiness and Information Management,"Ministry of Agriculture, Livestock and Fisheries",Enactment of Consolidated Agricultural Policy Reform Legislation ; Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2010/051790,"Marindas Forest, Which Is Part Of Eastern Mau","(-0.45300000000, 35.86400000000)",,NESSUIT,NJORO,NAKURU,147872928,359198895,04/14/2009 12:00:00 AM,01/01/2010 12:00:00 AM,01/07/2010 12:00:00 AM,06/30/2014 12:00:00 AM,,47 months 29 days,47 months,Environmental Policy And Coordination (Nrmp),"The main focus of the NRM programme is reduction of poverty through sustainable management of natural resources. The programme will support the demand from community level for technical services from both public and private service providers, and support","To strengthen an institutional framework for addressing environmental policy, planning and coordination.",100100 - General Administration Planning and Support Services,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/052474,Njoro,"(-0.38100000000, 35.92800000000)",,NJORO,NJORO,NAKURU,70564139,70564139,05/01/2009 12:00:00 AM,05/01/2009 12:00:00 AM,01/09/2009 12:00:00 AM,06/30/2016 12:00:00 AM,,85 months 29 days,85 months,Post Elections Violence Livelihoods Recovery Project,"This project will aid in  post election violence recovery and intergration process through the restoration of livelihoods in affected areas of the greater Nakuru, kisumu, transnzoia and uasingishu districts respectively.This will contribute to the broade","1. To enhance livelihoods restoration initiatives for social economic recovery for affected communities.
2. To expand livelihoods opportunities and linkages to ongoing national livelihood programmes",071300 - Special Initiatives,Unspecified,Unspecified,103 - Ministry of Devolution and Planning,Ongoing,Unspecified,0
2011/053187,Njoro,"(-0.38100000000, 35.92800000000)",,NJORO,NJORO,NAKURU,2985074702,5970149254,09/06/2009 12:00:00 AM,12/06/2009 12:00:00 AM,06/12/2009 12:00:00 AM,02/12/2016 12:00:00 AM,02/04/2017 12:00:00 AM,87 months 27 days,87 months,Kenya Agricutural Productivity & Agribusiness Project (KAPAP),"To support the agricultural research systems and agricultural extension, farmer and other Stakeholder empowerment.",To increase the agricultural productivity and incomes of participating small-holder farmers in 20 districs in Kenya,010900 - Agribusiness and Information Management,"Ministry of Agriculture, Livestock and Fisheries",Enactment of Consolidated Agricultural Policy Reform Legislation ; Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2010/051790,Egerton University,"(-0.36900000000, 35.93600000000)",,NJORO,NJORO,NAKURU,147872928,359198895,04/14/2009 12:00:00 AM,01/01/2010 12:00:00 AM,01/07/2010 12:00:00 AM,06/30/2014 12:00:00 AM,,47 months 29 days,47 months,Environmental Policy And Coordination (Nrmp),"The main focus of the NRM programme is reduction of poverty through sustainable management of natural resources. The programme will support the demand from community level for technical services from both public and private service providers, and support","To strengthen an institutional framework for addressing environmental policy, planning and coordination.",100100 - General Administration Planning and Support Services,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/052474,Nyakach,"(-0.36200000000, 34.90000000000)",,SOUTH WEST NYAKACH,NYAKACH,KISUMU,70564139,70564139,05/01/2009 12:00:00 AM,05/01/2009 12:00:00 AM,01/09/2009 12:00:00 AM,06/30/2016 12:00:00 AM,,85 months 29 days,85 months,Post Elections Violence Livelihoods Recovery Project,"This project will aid in  post election violence recovery and intergration process through the restoration of livelihoods in affected areas of the greater Nakuru, kisumu, transnzoia and uasingishu districts respectively.This will contribute to the broade","1. To enhance livelihoods restoration initiatives for social economic recovery for affected communities.
2. To expand livelihoods opportunities and linkages to ongoing national livelihood programmes",071300 - Special Initiatives,Unspecified,Unspecified,103 - Ministry of Devolution and Planning,Ongoing,Unspecified,0
2010/052054,Ahero Sub District Hospital,"(-0.17300000000, 34.92400000000)",,AHERO,NYANDO,KISUMU,18000000,18000000,07/05/2010 12:00:00 AM,07/26/2010 12:00:00 AM,,06/30/2017 12:00:00 AM,,83 months 4 days,83 months,Rehabilitation Of Ahero Sub District Hospital (K.I.D.D.P),This project entails rehabilitation of buildings and amenities and refurbishing and expanding of the health facilities at the Ahero Sub District Hospital,The main objective of this project is to rehabilitate and refurbishing of Ahero Sub District Hospital to enhance its capacity.,040200 - Curative Health Services,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Health,0
2010/052474,Nyando,"(-0.15900000000, 34.98100000000)",,AHERO,NYANDO,KISUMU,70564139,70564139,05/01/2009 12:00:00 AM,05/01/2009 12:00:00 AM,01/09/2009 12:00:00 AM,06/30/2016 12:00:00 AM,,85 months 29 days,85 months,Post Elections Violence Livelihoods Recovery Project,"This project will aid in  post election violence recovery and intergration process through the restoration of livelihoods in affected areas of the greater Nakuru, kisumu, transnzoia and uasingishu districts respectively.This will contribute to the broade","1. To enhance livelihoods restoration initiatives for social economic recovery for affected communities.
2. To expand livelihoods opportunities and linkages to ongoing national livelihood programmes",071300 - Special Initiatives,Unspecified,Unspecified,103 - Ministry of Devolution and Planning,Ongoing,Unspecified,0
2010/052061,Nyando,"(-0.16300000000, 35.05300000000)",,AWASI/ONJIKO,NYANDO,KISUMU,923964217,1055959105,05/08/2009 12:00:00 AM,07/01/2009 12:00:00 AM,,12/31/2013 12:00:00 AM,,95 months 8 days,95 months,Cash Trasfer For Orphans & Vulnerable Children (CT-OVC),Transfering regular and predictable cash to identified poor households living with orphans and vulnerable children to reduce the level of poverty and vulnerability and promote social inclusion and participation of the vulnerable groups.,To reduce vulnerability and subsequent suffering among the porest kenyan households taking care of the OVC by  providing regular and preditable cash transfer to poor households taking care of the orphans  and vulnerable children in order to strengthen th,090800 - Social Development and Children Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1141 - Ministry of Labour Social Security and Services,Ongoing,"Social Protection, Culture and Recreation",3.71
2011/053175,Nyando,"(-0.16300000000, 35.05300000000)",,AWASI/ONJIKO,NYANDO,KISUMU,673758721,1010638298,11/17/2005 12:00:00 AM,05/12/2005 12:00:00 AM,,12/31/2012 12:00:00 AM,,103 months 14 days,103 months,Water Supply/Sanitation Nzoia-Cl.Ph.1 St.2 (2004 70 252),"Water Sector Development Programme (Water Supply and Sanitation Programme Nzoia Cluster, Phase 1 Stage 2). The project will be implemented the Lake Victoria North Water Services Board and it will cover Western Kenya and its environs. This project entails",The objective of this project is to provide access to safe drinking water and basic sanitary services to infrastructures to the people living on the target area.,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Completed,"Environmental Protection, Water and Natural Resources",0
2010/052421,Kisumu,"(-0.15500000000, 34.88600000000)",,KOBURA,NYANDO,KISUMU,54,68,05/08/2009 12:00:00 AM,07/01/2009 12:00:00 AM,,06/28/2013 12:00:00 AM,,89 months 1 day,89 months,Lake Victoria Environmental Management Project (LVEMP) Phase II,"LVEMP II is an eight (8) years project that will be implemented in two phase known as Adjustable Programme Lending (APL). APL 1 runs for 4 years from 2009/10 FY to 2012/13 FY and is being implemented in Nyando River basin which covers an area of 3,550 Km",The higher development objective of LVEMP II is to contribute to the EACΓÇÖs Vision and Strategy Framework for Management and Development of the Lake Victoria basin ΓÇô ΓÇ£ a prosperous population living in a healthy and sustainably managed environment p,100500 - Integrated Regional Development,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1101 - State Department for Environment  and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2012/053328,Kisumu  County,"(-0.15500000000, 34.88600000000)",,KOBURA,NYANDO,KISUMU,551634615,630439560,07/04/2010 12:00:00 AM,12/01/2010 12:00:00 AM,01/12/2010 12:00:00 AM,04/06/2018 12:00:00 AM,04/05/2018 12:00:00 AM,89 months 3 days,89 months,Sugar Reforms Support Project (Annual Action Programme 2009 Under The Accompanying Measures For Sugar Protocol Countries),The Annual Action Plan 2009 consists of series which integrate actions focusing on 1) Yield and quality on improvement of sugarcane produced by small outgrowers 2) improving the road infrastructure in the cane production areas and 3) Capacity building wi,To support an effective implementation of the National Adaptation Strategy for sugar indusrt by increasing the competitiveness of the industry through improvement of efficiencies and reduction of production costs through support of infrastructure rehabil,010800 - Crop Development and Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 116 - MOAL&F - Kenya Sugar Board (KSB); 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/053362,Kisumu,"(-0.15500000000, 34.88600000000)",,KOBURA,NYANDO,KISUMU,18699186991710,37398373983740,06/25/2004 12:00:00 AM,09/25/2004 12:00:00 AM,,06/30/2015 12:00:00 AM,09/04/2019 12:00:00 AM,129 months 5 days,129 months,Northern Corridor Transport Improvement Project (NCTIP),Rehabilitation of Northern Corridor and Emergency Restoration of damaged public assets.,To enhance efficiency and effectiveness of Kenya's transport sector.,020200 - Road Transport,Ministry of Transport and Infrastructure,Lamu Corridor Development.,109 - Ministry of Transport and Infrastructure; 153 - MOT - Kenya Airports Authority; 154 - MOT - Kenya Civil Aviation Authority; 1091 - State Department of Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2012/053390,Kisumu County,"(-0.15500000000, 34.88600000000)",,KOBURA,NYANDO,KISUMU,11115200000,13894000000,12/10/2010 12:00:00 AM,03/05/2013 12:00:00 AM,,06/30/2018 12:00:00 AM,,63 months 25 days,63 months,Olkaria Lessos Kisumu Power Lines Construction Project,"the project entails construction works for transmission lines, expansion of substations and consulting services.","To enhance efficiency, reliability and security of electric power supply in Kenya by constructing a higher voltage transmission line systems, by improving the efficiency of the transmission and transmitting the renewable energy, contribute to mitigating",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",8.75
